date,     hour,   close_price,max_price,  min_price,  Total volume in BTC
20160802, 010000, 0.01632751, 0.01677000, 0.01531000, 891.257805
20160803, 010000, 0.01699393, 0.01933000, 0.01574829, 1819.32825
20160804, 010000, 0.01618688, 0.01700000, 0.01596176, 560.328383
20160805, 010000, 0.01657052, 0.01689000, 0.01607392, 286.134092
20160806, 010000, 0.01787917, 0.01838000, 0.01640001, 467.495479
20160807, 010000, 0.01766100, 0.01828000, 0.01725628, 464.850684
20160808, 010000, 0.01730706, 0.01809568, 0.01710506, 420.090152
20160809, 010000, 0.01788479, 0.01787204, 0.01702573, 259.255342
20160810, 010000, 0.01776953, 0.01808000, 0.01739990, 341.104596
20160811, 010000, 0.01794965, 0.01795000, 0.01721549, 262.534804
20160812, 010000, 0.01876806, 0.01908000, 0.01778800, 704.982142
20160813, 010000, 0.02072420, 0.02224471, 0.01871000, 2534.11754
20160814, 010000, 0.02247382, 0.02330080, 0.02051000, 2227.82236
20160815, 010000, 0.02292994, 0.02668645, 0.02238348, 6505.89262
20160816, 010000, 0.02033699, 0.02401643, 0.02000000, 4786.37590
20160817, 010000, 0.02202588, 0.02289999, 0.02015000, 2259.87493
20160818, 010000, 0.02196023, 0.02259842, 0.02111112, 1055.97705
20160819, 010000, 0.02494999, 0.02510999, 0.02192005, 3063.36706
20160820, 010000, 0.02319999, 0.02590000, 0.02290000, 3367.97849
20160821, 010000, 0.02305527, 0.02370000, 0.02212500, 1581.16995
20160822, 010000, 0.02363000, 0.02400000, 0.02210600, 1191.46374
20160823, 010000, 0.02371674, 0.02499989, 0.02329459, 1818.33685
20160824, 010000, 0.02240009, 0.02427887, 0.02021200, 1563.78466
20160825, 010000, 0.02303717, 0.02350100, 0.02220002, 665.935642
20160826, 010000, 0.02194618, 0.02303694, 0.02058300, 1049.98310
20160827, 010000, 0.02172164, 0.02238261, 0.02130487, 509.176312
20160828, 010000, 0.02187999, 0.02260932, 0.02114475, 694.197337
20160829, 010000, 0.02182268, 0.02230000, 0.02104099, 1101.20338
20160830, 010000, 0.01981223, 0.02182268, 0.01880000, 1894.88289
20160831, 010000, 0.02079014, 0.02139999, 0.01962613, 713.796677
20160901, 010000, 0.02025732, 0.02128995, 0.01971000, 798.106383
20160902, 010000, 0.01998866, 0.02050000, 0.01971260, 641.508819
20160903, 010000, 0.01890232, 0.02010201, 0.01862500, 764.620402
20160904, 010000, 0.01842954, 0.02010294, 0.01781453, 1122.89039
20160905, 010000, 0.01880313, 0.01935990, 0.01745001, 764.981889
20160906, 010000, 0.01864316, 0.01922060, 0.01800001, 358.574159
20160907, 010000, 0.01810000, 0.01879510, 0.01760000, 393.841443
20160908, 010000, 0.01865418, 0.01865293, 0.01772004, 491.866993
20160909, 010000, 0.01806843, 0.01876579, 0.01780100, 492.590698
20160910, 010000, 0.01784998, 0.01835676, 0.01754286, 352.817740
20160911, 010000, 0.01825546, 0.01843029, 0.01774645, 221.600991
20160912, 010000, 0.01959381, 0.01967152, 0.01790000, 545.246835
20160913, 010000, 0.02005500, 0.02124606, 0.01891551, 1404.55474
20160914, 010000, , , , 
20160915, 010000, 0.02079001, 0.02122136, 0.02020000, 431.552616
20160916, 010000, 0.01996332, 0.02097913, 0.01980118, 387.432590
20160917, 010000, 0.01950003, 0.02001440, 0.01906074, 369.083287
20160918, 010000, 0.01923926, 0.01965783, 0.01900000, 244.797644
20160919, 010000, 0.01893055, 0.01933911, 0.01854000, 315.831397
20160920, 010000, 0.01871746, 0.01922954, 0.01848000, 354.294126
20160921, 010000, 0.01876918, 0.01908880, 0.01836020, 441.688354
20160925, 010000, 0.01901111, 0.01952999, 0.01885000, 152.490500
20160926, 010000, 0.01900843, 0.01940000, 0.01900111, 134.507073
20160927, 010000, 0.01895999, 0.01911489, 0.01842003, 275.488852
20160928, 010000, 0.01923000, 0.01930000, 0.01880001, 250.899661
20160929, 010000, 0.01906070, 0.01928000, 0.01890011, 179.309281
20160930, 010000, 0.01941003, 0.02028120, 0.01905597, 618.825291
20161001, 010000, 0.01967476, 0.02028120, 0.01912958, 536.281339
20161002, 010000, 0.01921999, 0.01979998, 0.01882400, 316.195248
20161003, 010000, 0.01943997, 0.01969998, 0.01900002, 206.464760
20161004, 010000, 0.01922486, 0.02028120, 0.01919924, 354.646106
20161005, 010000, 0.01971200, 0.01992825, 0.01909394, 250.419596
20161006, 010000, 0.01976850, 0.01988985, 0.01930000, 361.871925
20161007, 010000, 0.01983699, 0.02009999, 0.01951111, 298.453024
20161008, 010000, 0.01921000, 0.01984936, 0.01900000, 305.860826
20161009, 010000, 0.01894150, 0.01921954, 0.01867338, 202.448270
20161010, 010000, 0.01908400, 0.01923030, 0.01865011, 238.257616
20161011, 010000, 0.01829265, 0.01909987, 0.01820000, 330.421148
20161012, 010000, 0.01819900, 0.01889676, 0.01788888, 413.663133
20161013, 010000, 0.01804986, 0.01852120, 0.01760000, 321.479688
20161014, 010000, 0.01828352, 0.01832493, 0.01783647, 251.202057
20161015, 010000, 0.01799981, 0.01843000, 0.01775000, 173.107339
20161016, 010000, 0.01761477, 0.01812998, 0.01705000, 310.872862
20161017, 010000, 0.01675200, 0.01770406, 0.01654322, 307.271993
20161018, 010000, 0.01625024, 0.01683974, 0.01620900, 277.776308
20161019, 010000, 0.01600194, 0.01644999, 0.01555006, 501.833695
20161020, 010000, 0.01677194, 0.01690000, 0.01586131, 309.691334
20161021, 010000, 0.01669258, 0.01710000, 0.01651853, 369.159321
20161022, 010000, 0.01665451, 0.01720616, 0.01651930, 267.591151
20161023, 010000, 0.01549000, 0.01677285, 0.01549000, 311.835762
20161024, 010000, 0.01508229, 0.01589899, 0.01485383, 425.186550
20161025, 010000, 0.01490608, 0.01552153, 0.01487500, 264.779013
20161026, 010000, 0.01431891, 0.01531527, 0.01370000, 502.188788
20161027, 010000, 0.01366220, 0.01444009, 0.01312004, 826.325355
20161028, 010000, 0.01382800, 0.01455488, 0.01360944, 559.311565
20161029, 010000, 0.01286362, 0.01400675, 0.01281111, 547.912992
20161030, 010000, 0.01264991, 0.01311499, 0.01051500, 1044.02682
20161031, 010000, 0.01377094, 0.01418888, 0.01221128, 634.017163
20161101, 010000, 0.01270210, 0.01408678, 0.01271111, 446.642723
20161102, 010000, 0.01213055, 0.01272409, 0.01170001, 662.412695
20161103, 010000, 0.01241933, 0.01293333, 0.01201245, 342.724076
20161104, 010000, 0.01316757, 0.01337426, 0.01241989, 543.219045
20161105, 010000, 0.01292756, 0.01332387, 0.01263338, 231.748711
20161106, 010000, 0.01304998, 0.01326000, 0.01285776, 184.129320
